comment,abusive,aggressor,logged_in
"""mixture of cql and book canon"" ew lmao, can you nhs kinnies at least have the decency to keep it to untamed shit? actual jc wouldnt touch that ugly loser with a ten foot pole LMAO",1,troll3,0
"wow it looks like desperate losers moved on from copying jgy's personality nd chengyao dynamic to nhs nd ""sangcheng"" to copying wwx's personality and chengxian like?? have you considering not being disgusting instead?",1,troll3,1
lmao self insert less u ugly freak,1,troll3,1
oh yeah i remember how he was such a seductive slut in the book when he was smeaing snot and tears on nmjs boots while he was begging him,1,troll3,1
"""wedding planner jc"" ""sangcheng"" damn pick a fucking struggle ffs..",1,troll3,1
damn if u rly r spending all ur time on this workthless crack... 💀💀💀💀💀💀,1,troll3,
nhs kinnies not just lobotomized but also clinically insane i see,1,troll3,1
OMGGG ROLLROLL HEYYY GIRLL how have u beeeennn are u still having nervous breakdowns when ppl acknowledge that youre female 😳😳😳😜😜😜😜😜,1,troll3,1
YIKES i didnt wanna see u fantasize abt having jcs babies ewwwwww gtfo w ur deformed face,1,troll3,1
still i just think you werent bullied enough for being half horse half rat freak bc you still seem to have the nerve to exist. how odd,1,troll3,
ok but you just never clarified - how can ANYONE have teeth too big for their mouths???? LIKE???? and making rat noises????? are you sure youre human???? waiting eagerly for the feedback ❤,1,troll3,
"imagine doing this instead of living like a normal dude. an extremely ugly dude but still no one died from it. i mean you SHOULD, but get my drift lol",1,troll3,0
how's hrt going? thinner beard by any chance?,1,troll3,1
"a ""GirL"" wAnTs tO bLocK 🤪🤪🤪🤪 love the new photo btw! kinda amazing that anyone would want to display theyre a hideous middle aged tranny to everyone, but alas",1,troll3,1
"""one of the few fics that I either abandoned or deleted that I will be uploading here once more, so they can see the light of day"" why would you ever do that, you surely abandoned them for a reason? dont regress like this just embrace ur growth ❤",1,troll3,0
"""lady"" nie should def keep that shit to himself nd im sure nothing can look more ridiculous than that entity in drag

this is so fucking funny thank u 😭🙏",1,troll3,0
"Lmao, very realistic idea of nhs being a beta, if only you had enough sense to ship jc with someone who isn't so worthless..",1,troll3,0
you know you only have these ~gender~ issues bc you dont fit beauty standards and youre trying to escape that you're deeply unattractive by creating a different category for yourself? im sorry youre a joke even among transes :/,1,troll3,1
"""dolled up huaisang"" Lmfao, of course a hideous loser who wanna cut her boobs off and pretend to be a dude would be disgusting enough to write that unironically, my condolences to anyone who has to be exposed to ur stench irl 🤢🤢🤢🤢🤮🤮🤮🤮🤮🤮",1,troll3,1
imagine being a 30 yo gendertard and writing sangcheng... didnt you like that pic of nhs though? did reality contradict ur ~concubine sexc nhs~ wish fulfilment too much that u blocked me so quickly? gross 😔😔😔,1,troll3,0
"im very into the ""sangcheng dungeon sex"" you posted in particular, where jiang cheng orders his men to skin nhs's ugly face and cut his limbs so hes easier to look at when everyone uses him as a toilet ❤",1,troll3,0
"""immoral uwu nhs actually gets laid wink wink"" imagine being a grownass woman and still projecting what you never could be on a character that is FURTHEST from it. the absolute tragedy of it all...",1,troll3,0
Love how all sangcheng shippers are so disgusting looking ❤,1,troll3,0
unfuckable incel energy radiating from you 💩💩💩,1,troll3,0
gEndEr feEls 🤪🤪🤪🤪🤪 never running out of ugly freak nhs kinnies around here LMAO,1,troll3,1
its really not that hard to multitask 😳😳😳 but im sure a retard like you wouldn't manage :/,1,troll3,1
"uh oh relying on other uglies to defend ur atrophied coochie, are ya :/",1,troll3,1
"How interesting you're choosing to write OOC smut, since Meng Yao betrayed Lan Xichen so horrible :)",1,troll4,0
Jgy was forgiven too easily. Ooc and unbelievable.,1,troll4,0
Lol it started off interesting but went full off the rails ooc and illogical super fast and pushed a gross xiyao agenda just for the sake of having that disgusting relationship present. Also huge plot hole with Qin Su magically not being pregnant even though in canon she should be. XD,1,troll4,0
Good story!! Too bad ruined by gross 3zun,1,troll4,0
lol two toxic relationships / 4. too bad those toxic ships are enough to ruin the whole story,1,troll4,0
neat idea too bad gross xiyao ruins it,1,troll4,0
Ew gross ooc xiyao inc apparently bleh,1,troll4,0
"wow tons of grammar errors XD and wowowow jgy thought of taking advantage of lxc back when he was on the run and devastated? well at least jgy's shitty narcissistic personality is there among all the ooc haha. loving the karma jgy has to deal with tho, hurting the one person he supposedly cares about with his selfish toxic actions rofl rofl. i hope lxc finds out jgy's actions led to this XD",1,troll4,0
what a masterpiece of oocness and total disregard for canon personalities. wonderful,1,troll4,0
"LOL wow kudos to you for making the xiyao even more toxic. I love how you wrote LXC as a total mess, clearly Meng Yao's poison has already corrupted and tainted him to the point where he's obbessed and in a very bad mental state and losing his sense of self. Truly speaks to how unhealthy his relationship is with MY. The twist of LXC sleeping with NMJ is hilarious too! It only adds to the comedy. Now everyone can be NMJ's ex. XD XD XD",1,troll4,0
lxc completely ooc even in modern au? check! meng yao a problem causing toxic slut involved in cheating? check! xiyao with the infidelity norm? check! nmj deserving better from ooc lxc? check! meng yao only referred to as a-yao in the entire fic because of bias? check! XD wow you got all of them haha,1,troll4,0
I love how funny and ooc they are XD Fluff where you can replace the character names with anything and still have the story be the same is the best,1,troll4,0
lol i guess ooc lxc wants to have his life ruined again by rat meng yao,1,troll4,0
"Grays wangxian story, shame xiyao pollutes it",1,troll4,0
"lol meng yao should thank wrh for breaking lxc's mind and body so much that he'll latch on to a few kind words from the first person to show him a shred of kindness, and for dragging lxc down to meng yao's level so that the story can awkwardly force them together in a relationship. Sluts4Sluts ROFL",1,troll4,0
You not gunna pair your mary sue with anyone?,1,troll4,0
I love your original fiction of characters wearing the names of mdzs ones but with none of their established personalities or even a hint of any of their traits. :D!,1,troll4,0
"neat story, too bad it has toxic pairings with JGY. at least no xuexiao ew",1,troll4,0
lol your canon compliant tag is already false oh well gotta force that relationship and go ooc to make your story work i guess? haha XD good effort on the poems tho lol,1,troll4,0
Amazing! I love how you threw out their canon personalities along with their canon genders and made them women with brand new character traits in order to force them to sleep together in a single day of knowing each other. I think that was the right move for this story since it'd never happen in canon. It was like reading original fiction just with familiar names. :D  Kudos!,1,troll4,0
Wonderful! So much easier to shove JGY and LXC into a cringe-inducing relationship when they're forced by a BadGuy^tm into a weird marriage and you toss out half of JGY's canon personality to twist him into being a halfdecent person and don't let the murders and deceit happen XD,1,troll4,0
"everyone super ooc and acting in illogical and bizarre ways, characters alive when they should be dead, jgy suddenly becoming a suicidal angsty teenage girl, ahaha wow this makes no sense as a mdzs fanfic. should have just wrote original content XD",1,troll4,0
I like your mary sue meng yao :D,1,troll4,0
"Ah what a wonderful snippet of a bland fluffy modern au, a nice tribute to the fake niceness of JGY and LXC's friendship in canon, how everything nice about it was false and pretend. :) Kudos! Though you should try your hand at original fiction since the MDZS character names make little sense here with how little semblance to the canon characters there is. :D",1,troll4,0
masterful example of taking established canon personalities and throwing them out the window. top tier ooc great job!,1,troll4,0
XD wow so along with throwing out any sort of canon compliance you threw out all semblance of established canon personalities for all the characters AND I guess kicked JGS and Qin Su down the stairs and out of the story too for since they don't exist. did JGY killed JGS? Or is he just missing for some magical reason. guessing Qin Su was thrown out the window to shove illogical xiyao together without any obstacles because that's all she is I guess!! also weird how xue yang is so active and XXC isn't coming to stop him. such a bizarre plot it's better off as an original fiction lol,1,troll4,0
lol I love how all them became progressively more ooc as the story went on to the point where none of them especially nmj were recognizable at the end rofl. XD that's talent right there to take canon characters and immediately start throwing out more and more of their defined traits to write bizarre situations like that confrontation was pure art in how forced and weird it was lol! XD . wonder what'll happen when jgy has to marry qin su oh wait its qin su erasure time gg XD!!,1,troll4,0
"This story had a promising start, but thanks to this chapter alone it’s gone to shit tbqh. If you aren’t going to put any effort into a chapter, don’t bother updating at all.",1,troll4,0
lol wow love how you completely gutted their canon personalities to write this au! great job! :D :D :D,1,troll4,0
Fantastic self-insert where you could shove all your favorite pairings together no matter how illogical and change the plot to suit your own fantasies :D,1,troll4,0
"so it's been 100 years since the tomb was sealed for 100 years? wow ok, and jgy was cheating on poor qin su? XD XD wow amazing how ooc lxc is in this story, wishing for his abuser to come back and manipulate him into a toxic relationship again and maybe murder another sworn brother?? XD XD XD lol even funnier is lxc believing jgy never meant to hurt him when jgy lied to his face for so many years and attempted to have lwj and other lan sect members killed at the second siege rofl. excellent demonstration of illogical oocness in this story, fantastic",1,troll4,0
lol congrats on finishing meng yao the mary sue The Fic. XD never seen such a bland story with such a convenient murder getaway before. yawn XD maybe you can write something different in the future that isnt just a rehash of all your story plots XD XD,1,troll4,0
Go full on sad end and have jgy kill himself,1,troll4,0
lol XD what a hasty forced drama free unrealistic wrap up regarding jgy being a piece of shit slut and lxc being full on bizzarro land ooc but i guess that suits this fic haha,1,troll4,0
cool idea too bad xiyao is including. too toxic and gross :P,1,troll4,0
lol two toxic pairings xiyao and xuexiao barf,1,troll4,0
I hope lan-furen dies. he's disgusting,1,troll4,0
You have the weirdest fetish for Lan Xichen in particular getting raped. Maybe seek some therapy.,1,troll4,0
wow great story where all logic and canon characterization are thrown out the window to save an irredeemable lying murdering rat and force him into an unhealthy relationship with the poor man he abused and lied to for years XD,1,troll4,0
how much time of your life did you waste writing almost 100k words of this boring fic?,1,troll4,0
"Eew too bad gross ooc 3zun ruins the fic. Was pretty good wangxian but barf having to read ""a-yao"" all the time instead of his actual full name but hey that's ooc for you",1,troll4,0
"That was an interesting read of a twisted unhealthy, borderline abusive, relationship with one IC character and one ooc character. Cool story lol",1,troll4,0
"
You lost me at the unnecessary appearance of your OC",1,unknown,0
"This is somehow both the most exhaustingly dense attempt at pathos that I've ever read, and the most enormously shallow mischaracterization of these characterization of these characters that I've ever seen. Dionysus reads like a teenager's imagination of what a smooth, suave lover would act like (""Oh, fuck, Pat, gonna come any moment here. Yeah, uhn, yes!"") while Patroclus reads like wet cardboard. Congrats!",1,unknown,0
Nothing would make me happier than to find out you fell over and bashed out all your teeth from slamming face first into the concrete.,1,unknown,1
"WOW!!!!!
THIS MADE ME WANT TO KILL MYSELF EVEN MORE THAN BEFORE!!!!!
THANKS FOR SCARRING ME!!!!
:)
FUCK YOU TOO!!!!

Sincerely,
A concerned child",1,unknown,0
"HELLO CAROL ARE YOU A 40 YEAR OLD MAN WHO JACKS OFF TO THIS SHIT??
Because clearly you have problems and forget to realize they are 15 and this is disgusting.

Sincerely,
A dissaponted child",1,unknown,0
"My God how can anyone like a story like that??? This is pure sexual and psychological abuse! Horrible someone submit to write something like that and even worse is someone like it, what's happening to humanity?",1,unknown,0
jesus fucking christ you are literally MIDDLE AGED are you for real. go outside take care of your kids or something wtf this is horrifying.,1,unknown,0
